team,division,conference,first_name,last_name,vt_nqs,ub_nqs,bb_nqs,fx_nqs,aa_nqs
Alabama,Div I,SEC,Gabby,Gladieux,9.870,9.875,9.885,9.955,39.550
Alabama,Div I,SEC,Jordyn,Paradise,9.890,,,,
Alabama,Div I,SEC,Natalia,Pawlak,,9.885,,,
Alabama,Div I,SEC,Rachel,Rybicki,,,,9.885,
Alaska,Div I,MPSF,Maria,Jose Prieto,,,,9.445,
Arizona,Div I,Big 12,Jessa,Janicke,9.840,,9.745,,
Arizona,Div I,Big 12,Elizabeth,LaRusso,9.750,,,9.800,
Arizona State,Div I,Big 12,Safia,El Mammann,9.835,,9.790,,
Arizona State,Div I,Big 12,Isabella,Kowan,,9.725,,,
Arizona State,Div I,Big 12,Kayla,Lee,,,9.845,9.810,
Arizona State,Div I,Big 12,Kimberly,Smith,9.835,9.870,9.820,9.895,39.360
Arkansas,Div I,SEC,Frankie,Price,,,,9.725,
Arkansas,Div I,SEC,Morgan,Price,9.925,9.935,9.865,9.690,39.215
Arkansas,Div I,SEC,Joscelyn,Roberson,,9.860,9.950,9.915,
Arkansas,Div I,SEC,Leah,Smith,9.840,9.875,,9.890,
Arkansas,Div I,SEC,Cami,Weaver,9.860,,9.850,,
Auburn,Div I,SEC,Hannah,Hagle,,,9.860,,
BYU,Div I,Big 12,Alilah,Alvarado,,9.845,9.845,,
BYU,Div I,Big 12,Brynlee,Andersen-Broekman,,,9.900,9.875,
BYU,Div I,Big 12,Kylie,Eaquinto,9.830,9.840,,9.885,
Ball State,Div I,MAC,Mary Rose,Bellan,9.755,9.850,,,
Ball State,Div I,MAC,Zoe,Middleton,9.840,9.835,9.795,9.840,39.210
Ball State,Div I,MAC,Alauna,Simms,,,,9.770,
Boise State,Div I,MW,Anna,Ferguson,,,,9.755,
Boise State,Div I,MW,Blake,Pascal,,,,9.860,
Bowling Green,Div I,MAC,Madison,Coburn,9.725,,9.645,9.785,
Bowling Green,Div I,MAC,Kayla,Shaw,,9.700,9.750,9.860,
Brown,Div I,GEC,Sophia,Dewar,9.775,9.720,,9.870,
Brown,Div I,GEC,Jessica,Lin,9.545,,,,
Brown,Div I,GEC,Liza,Marcus,,9.800,9.775,9.775,
Brown,Div I,GEC,Lindsay,Van Eyk,,,9.810,9.735,
California,Div I,ACC,Abbey,Scanlon,,,9.810,,
California,Div I,ACC,Mya,Wiley,9.790,9.860,,,
Central Michigan,Div I,MAC,Luciana,Alvarado-Reid,9.805,9.895,9.850,9.890,39.360
Central Michigan,Div I,MAC,Avah,Bootz,9.775,,9.715,9.815,
Central Michigan,Div I,MAC,Lia,Kmieciak,9.845,9.905,,,
Clemson,Div I,ACC,Ella,Cesario,9.835,9.875,9.845,9.880,39.385
Clemson,Div I,ACC,Brie,Clark,9.820,,9.855,9.945,
Clemson,Div I,ACC,Eve,Jackson,,9.685,,,
Clemson,Div I,ACC,Madison,Minner,9.835,,,9.800,
Clemson,Div I,ACC,Tara,Walsh,9.885,,9.860,9.880,
Cornell,Div I,GEC,Mikayla,Burton,,,9.610,,
Cornell,Div I,GEC,Michaela,DeFrancisco,9.675,,,,
Cornell,Div I,GEC,Morgen,Shambo,,9.730,,,
Cornell,Div I,GEC,Cami,Whitaker,9.810,,,9.780,
Denver,Div I,Big 12,Mila,Brusch,9.845,9.825,,,
Denver,Div I,Big 12,Cecilia,Cooley,9.745,9.865,9.910,9.930,39.295
Denver,Div I,Big 12,Kiley,Rorich,,9.860,,,
Eastern Michigan,Div I,MAC,Priya,Karle,,,,9.785,
Eastern Michigan,Div I,MAC,Kyrie,Lowe,9.730,9.820,9.780,9.805,39.000
Florida,Div I,SEC,eMjae,Frazier,9.795,9.910,9.910,9.915,
Florida,Div I,SEC,Selena,Harris-Miranda,9.925,9.945,9.970,9.925,39.605
Florida,Div I,SEC,Riley,McCusker,,9.945,,,
George Washington,Div I,EAGL,Kylie,Kazmierski,,,9.445,9.725,
George Washington,Div I,EAGL,Nancy,Kiner,,,9.640,,
George Washington,Div I,EAGL,Lola,Montevago,9.780,9.855,9.785,9.775,39.065
George Washington,Div I,EAGL,Catherine,O'Rourke,,,,9.795,
George Washington,Div I,EAGL,Deana,Sheremeta,9.780,9.805,9.805,9.885,39.100
George Washington,Div I,EAGL,Alexia,Zakaryan,9.760,9.690,,,
Georgia,Div I,SEC,Csenge,Bacskay,,9.870,,,
Georgia,Div I,SEC,Ja' Free,Scott,9.885,9.900,9.900,,
Georgia,Div I,SEC,Eryn ,Williams,,,,9.865,
Illinois,Div I,Big Ten,Ava,Banks,,,,9.760,
Illinois,Div I,Big Ten,Kennedy,Brown,,9.690,,9.765,
Illinois,Div I,Big Ten,Tali,Joelson,,,,9.785,
Illinois State,Div I,MIC,Jada,Beswick,,9.785,,,
Illinois State,Div I,MIC,Leah,Davis,9.640,,9.655,9.815,
Illinois State,Div I,MIC,Mackenzie,Flutman,,,,9.660,
Illinois State,Div I,MIC,Julia,Heiner,,9.725,,,
Illinois State,Div I,MIC,Jaly,Jones,9.685,,9.730,9.835,
Illinois State,Div I,MIC,Ally,Lau,,,9.820,,
Iowa,Div I,Big Ten,Hanna,Castillo,,,,9.820,
Iowa,Div I,Big Ten,Avery,Chambers,9.765,,,,
Iowa,Div I,Big Ten,Emily,Erb,,,,9.795,
Iowa,Div I,Big Ten,JerQuavia,Henderson,9.855,9.790,,9.895,
Iowa,Div I,Big Ten,Gianna,Masella,9.765,9.875,,,
Iowa,Div I,Big Ten,Marissa,Rojas,,,9.750,,
Iowa,Div I,Big Ten,Haley,Tyson,,,,9.810,
Kent State,Div I,MAC,Charlie,Behner,9.850,9.855,,9.865,
Kent State,Div I,MAC,Jersey,Bingman,9.835,,,9.780,
Kent State,Div I,MAC,Avery,Compson,9.720,,,,
Kent State,Div I,MAC,Mya,Migliore,,,9.755,,
Kent State,Div I,MAC,Zoe,Rankin,,,9.620,9.810,
Kent State,Div I,MAC,Nastia,Rudnitskaya,,9.825,,9.765,
Kentucky,Div I,SEC,Anna Flynn,Cashion,9.890,,,,
Kentucky,Div I,SEC,Isabella,Rivelli,,9.585,,,
Kentucky,Div I,SEC,Gabby,Van Frayen,,9.825,9.845,9.835,
LIU,Div I,EAGL,Kady,Bills-McCoy,,,9.710,,
LIU,Div I,EAGL,Brooke,Burkhart,9.735,,,,
LIU,Div I,EAGL,Ellorie,Cane,,,9.765,,
LIU,Div I,EAGL,Brisa,Carraro,,9.795,,,
LIU,Div I,EAGL,Kaira,Cartwright,9.715,,9.270,,
LIU,Div I,EAGL,Zoe,Claiborne,9.705,,,9.595,
LIU,Div I,EAGL,Alina,Danilchenko,,,9.715,9.715,
LIU,Div I,EAGL,Renee,Figueroa,,,9.690,,
LIU,Div I,EAGL,Angelina,Hogan,,9.665,,,
LIU,Div I,EAGL,Danyella,Holmes,,,,9.700,
LIU,Div I,EAGL,Carly,Kliewer,,9.685,,,
LIU,Div I,EAGL,Camille,Lund Rasmussen,,9.615,9.540,,
LIU,Div I,EAGL,Annalisa,Page,9.720,,,9.740,
LIU,Div I,EAGL,Raphaelle,Perreault,9.755,9.640,9.765,9.855,38.970
LIU,Div I,EAGL,Isabella,Savino,,9.750,,,
LIU,Div I,EAGL,Eden,Stippick,9.790,,,9.735,
LSU,Div I,SEC,Courtney,Blackson,9.745,9.900,,,
LSU,Div I,SEC,Ashley,Cowan,,9.895,,,
LSU,Div I,SEC,Emily,Innes,,,,9.900,
Maryland,Div I,Big Ten,Megan,Bingham,,,9.800,,
Maryland,Div I,Big Ten,Josephine,Kogler,9.830,,9.855,9.845,
Maryland,Div I,Big Ten,Madeline,Komoroski,,9.825,9.875,9.885,
Maryland,Div I,Big Ten,Katrina,Mendez-Abolnik,9.845,,,,
Maryland,Div I,Big Ten,Taylor,Rech,9.820,,,9.850,
Michigan,Div I,Big Ten,Carly,Bauman,,9.900,9.890,9.935,
Michigan,Div I,Big Ten,Reyna,Guggino,9.850,,,,
Michigan State,Div I,Big Ten,Lilia,Cosman,,9.825,9.870,,
